Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"17031420500","14000US17031420500","Census Tract 4205","Census Tract 4205, Cook County, Illinois","il","140","00","ACSSF","0006297",,,,,"17","031",,,,"420500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1735,7,1702,0,26,0,0,0,0.4,98.1,0,1.5,0,0,0
"17031420600","14000US17031420600","Census Tract 4206","Census Tract 4206, Cook County, Illinois","il","140","00","ACSSF","0006298",,,,,"17","031",,,,"420600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894,47,1769,0,0,0,12,66,2.48,93.4,0,0,0,0.63,3.48
"17031420700","14000US17031420700","Census Tract 4207","Census Tract 4207, Cook County, Illinois","il","140","00","ACSSF","0006299",,,,,"17","031",,,,"420700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674,28,2530,25,0,0,78,13,1.05,94.61,0.93,0,0,2.92,0.49
"17031420800","14000US17031420800","Census Tract 4208","Census Tract 4208, Cook County, Illinois","il","140","00","ACSSF","0006300",,,,,"17","031",,,,"420800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2377,58,2137,0,26,0,0,156,2.44,89.9,0,1.09,0,0,6.56
"17031421200","14000US17031421200","Census Tract 4212","Census Tract 4212, Cook County, Illinois","il","140","00","ACSSF","0006301",,,,,"17","031",,,,"421200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,18,1064,20,0,0,15,9,1.6,94.49,1.78,0,0,1.33,0.8
"17031430101","14000US17031430101","Census Tract 4301.01","Census Tract 4301.01, Cook County, Illinois","il","140","00","ACSSF","0006302",,,,,"17","031",,,,"430101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3199,39,3131,0,0,0,29,0,1.22,97.87,0,0,0,0.91,0
"17031430102","14000US17031430102","Census Tract 4301.02","Census Tract 4301.02, Cook County, Illinois","il","140","00","ACSSF","0006303",,,,,"17","031",,,,"430102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120,86,2896,0,31,0,0,107,2.76,92.82,0,0.99,0,0,3.43
"17031430200","14000US17031430200","Census Tract 4302","Census Tract 4302, Cook County, Illinois","il","140","00","ACSSF","0006304",,,,,"17","031",,,,"430200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4863,378,4396,66,0,0,23,0,7.77,90.4,1.36,0,0,0.47,0
"17031430300","14000US17031430300","Census Tract 4303","Census Tract 4303, Cook County, Illinois","il","140","00","ACSSF","0006305",,,,,"17","031",,,,"430300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,40,2380,0,9,0,0,21,1.63,97.14,0,0.37,0,0,0.86
"17031430400","14000US17031430400","Census Tract 4304","Census Tract 4304, Cook County, Illinois","il","140","00","ACSSF","0006306",,,,,"17","031",,,,"430400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2765,84,2628,12,0,0,0,41,3.04,95.05,0.43,0,0,0,1.48
"17031430500","14000US17031430500","Census Tract 4305","Census Tract 4305, Cook County, Illinois","il","140","00","ACSSF","0006307",,,,,"17","031",,,,"430500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3481,66,3340,0,10,0,0,65,1.9,95.95,0,0.29,0,0,1.87
"17031430600","14000US17031430600","Census Tract 4306","Census Tract 4306, Cook County, Illinois","il","140","00","ACSSF","0006308",,,,,"17","031",,,,"430600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,87,1995,0,9,0,42,35,4.01,92.02,0,0.42,0,1.94,1.61
"17031430700","14000US17031430700","Census Tract 4307","Census Tract 4307, Cook County, Illinois","il","140","00","ACSSF","0006309",,,,,"17","031",,,,"430700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2682,101,2521,0,0,0,22,38,3.77,94,0,0,0,0.82,1.42
"17031430800","14000US17031430800","Census Tract 4308","Census Tract 4308, Cook County, Illinois","il","140","00","ACSSF","0006310",,,,,"17","031",,,,"430800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,12,1925,0,0,0,20,0,0.61,98.36,0,0,0,1.02,0
"17031430900","14000US17031430900","Census Tract 4309","Census Tract 4309, Cook County, Illinois","il","140","00","ACSSF","0006311",,,,,"17","031",,,,"430900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481,3,1468,0,1,0,0,9,0.2,99.12,0,0.07,0,0,0.61
