Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"36061028700","14000US36061028700","Census Tract 287","Census Tract 287, New York County, New York","ny","140","00","ACSSF","0006055",,,,,"36","061",,,,"028700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4231,2234,255,24,68,0,1533,117,52.8,6.03,0.57,1.61,0,36.23,2.77
"36061029100","14000US36061029100","Census Tract 291","Census Tract 291, New York County, New York","ny","140","00","ACSSF","0006056",,,,,"36","061",,,,"029100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12165,3370,2130,45,495,57,5480,588,27.7,17.51,0.37,4.07,0.47,45.05,4.83
"36061029300","14000US36061029300","Census Tract 293","Census Tract 293, New York County, New York","ny","140","00","ACSSF","0006057",,,,,"36","061",,,,"029300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9397,2704,1191,0,90,0,4914,498,28.78,12.67,0,0.96,0,52.29,5.3
"36061029500","14000US36061029500","Census Tract 295","Census Tract 295, New York County, New York","ny","140","00","ACSSF","0006058",,,,,"36","061",,,,"029500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8182,4346,580,0,271,0,2398,587,53.12,7.09,0,3.31,0,29.31,7.17
"36061029700","14000US36061029700","Census Tract 297","Census Tract 297, New York County, New York","ny","140","00","ACSSF","0006059",,,,,"36","061",,,,"029700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,13,0,2,0,3,0,18.18,59.09,0,9.09,0,13.64,0
"36061029900","14000US36061029900","Census Tract 299","Census Tract 299, New York County, New York","ny","140","00","ACSSF","0006060",,,,,"36","061",,,,"029900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737,1083,973,37,9,0,1476,159,28.98,26.04,0.99,0.24,0,39.5,4.25
"36061030300","14000US36061030300","Census Tract 303","Census Tract 303, New York County, New York","ny","140","00","ACSSF","0006061",,,,,"36","061",,,,"030300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4535,2191,514,0,197,0,1357,276,48.31,11.33,0,4.34,0,29.92,6.09
"36061030700","14000US36061030700","Census Tract 307","Census Tract 307, New York County, New York","ny","140","00","ACSSF","0006062",,,,,"36","061",,,,"030700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3920,2578,498,10,152,47,477,158,65.77,12.7,0.26,3.88,1.2,12.17,4.03
"36061030900","14000US36061030900","Census Tract 309","Census Tract 309, New York County, New York","ny","140","00","ACSSF","0006063",,,,,"36","061",,,,"030900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10593,2540,2852,157,75,0,4470,499,23.98,26.92,1.48,0.71,0,42.2,4.71
"36061031100","14000US36061031100","Census Tract 311","Census Tract 311, New York County, New York","ny","140","00","ACSSF","0006064",,,,,"36","061",,,,"031100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
"36061031703","14000US36061031703","Census Tract 317.03","Census Tract 317.03, New York County, New York","ny","140","00","ACSSF","0006065",,,,,"36","061",,,,"031703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5783,4368,57,0,1150,0,14,194,75.53,0.99,0,19.89,0,0.24,3.35
"36061031704","14000US36061031704","Census Tract 317.04","Census Tract 317.04, New York County, New York","ny","140","00","ACSSF","0006066",,,,,"36","061",,,,"031704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10224,7521,254,93,1900,0,8,448,73.56,2.48,0.91,18.58,0,0.08,4.38
"36061031900","14000US36061031900","Census Tract 319","Census Tract 319, New York County, New York","ny","140","00","ACSSF","0006067",,,,,"36","061",,,,"031900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
